review_text,rating,date,language_style,has_slang,slang_count,domain,word_count,length_type,label,char_count,avg_word_len,exclamation_count,question_count,uppercase_ratio,unique_word_ratio,stratify_key,language_enc,length_enc,domain_enc
"Hait, stayed overnight experience revolutionary transformation lifestyle upgrading premium luxurious five star seven star hospitality industry leading benchmark setting record breaking award winning certified internationally recognized globally acclaimed universally praised highly recommended must visit destination, room was spacious enormous gigantic vast expansive comfortable cozy elegant sophisticated modern contemporary stylish chic beautiful gorgeous stunning magnificent spectacular breathtaking, bedding was premium quality Egyptian cotton silk satin soft smooth comfortable cloud like heavenly, bathroom was marble granite luxurious spa like resort style jacuzzi bathtub rainfall shower premium toiletries branded products, view was panoramic scenic picturesque beautiful mountains hills valleys sunrise sunset, staff were professional trained experienced courteous friendly helpful attentive caring dedicated committed passionate, breakfast buffet was extensive diverse international continental local authentic fresh organic healthy delicious",5,2024-09-23,english,0.0,-0.6772233733392268,hotel_restaurant,4.224761957308679,long,1,5.478420946318929,2.110597052073937,-0.4814532795739657,0,-0.6284393341115759,0.9112903225806451,1_english,1,0,1
We;ivery dherai sl8w thiyo. waiY wsit wait garna paro. lastai frustrating,2,2024-02-28,code_mixed,1.0,1.3988215544390108,transportation,-0.4937153123289372,short,0,-0.39771192930802673,0.4115488528250741,-0.4814532795739657,0,0.07829264288230325,1.0,0_code_mixed,0,2,4
went here for lunch. food was hot and fresh. service was quick. price thik thiyo. ramro experience,4,2024-03-18,code_mixed,1.0,0.36079909054989207,food,-0.24317669624198407,short,0,-0.2482680616674633,-0.3763093238111112,-0.4814532795739657,0,-0.6809229905923014,0.9411764705882353,0_code_mixed,0,2,0
"chalcha tyo product, khasai problem chhaina",3,2022-07-31,romanized_nepali,1.0,0.36079909054989207,product,-0.7024974924013981,very_short,0,-0.5770445704767029,0.8908695226599719,-0.4814532795739657,0,-0.6809229905923014,1.0,0_romanized_nepali,2,3,2
"Bah, motorcycle mileage ekdum kharab, fuel consumption high!!!",1,2023-08-04,code_mixed,1.0,0.36079909054989207,transportation,-0.6189846203724138,very_short,1,-0.46346723106987464,1.4181222594783591,1.505999185933789,0,-0.23396539991773577,1.0,1_code_mixed,0,3,4
"Khana dherai mahango, service terrible, never going back.",2,2023-09-11,code_mixed,0.0,-0.6772233733392268,hotel_restaurant,-0.6189846203724138,very_short,1,-0.49335600459798734,0.8532086128872296,-0.4814532795739657,0,-0.19475859371821247,1.0,1_code_mixed,0,3,1
Headlight dim replacement needed,3,6/30/2023,english,0.0,-0.6772233733392268,transportation,-0.7860103644303825,very_short,0,-0.6427998722385508,1.644087718114811,-0.4814532795739657,0,0.18505734133966958,1.0,0_english,1,3,4
Mero kura dhyan diyera sunnu hos sabaile yo thau ma treatment garna bhulera pani najanu hola hjr. Doctor haru kasto illiterate raixan mero sathi ko surgery bigardiyo ani aile jhan thulo samasya aayeko xa hospital le kunai responsibility liyeko chaina aaja samma. Paisa matra lutne dhanda raixa salla criminal haru ko group ho yo medical center vane ko sabaile boycott garnu parcha.,1,2023-09-29,romanized_nepali,1.0,1.3988215544390108,services,1.6358629244101643,medium,1,1.443436520023715,-0.032430200800799,-0.4814532795739657,0,-0.4627232219165292,0.9193548387096774,1_romanized_nepali,2,1,3
birthday party garyo here. booked table in advance. but when we came they gave our table to others. said we had no booking. I HAVE THE SCREENSHOT BRO. showed them and they were still arguing. we had to wait 45 mins. food also came wrong. cake they promised was not ready. my friends were upset on my birthday. total mood kill. paisa waste time waste. lastai jhyau thyo. never book here. khattam place. sala.,1,2023-09-30,code_mixed,1.0,5.550911409995486,hotel_restaurant,2.1369401565840707,long,0,1.598858142369901,-0.6155668682497072,-0.4814532795739657,0,0.7489020292069234,0.8513513513513513,0_code_mixed,0,0,1
"Waited 1 hr for cab, driver cancelled last minute. complete waste of evening honestly",1,4/28/2024,english,0.0,-0.6772233733392268,transportation,-0.36844600428546065,short,0,-0.32597887284055627,-0.099074391366389,-0.4814532795739657,0,-0.35490686562967705,1.0,0_english,1,2,4
yo gym membership bro. paid for 6 month. and then equipment broke after 2 months and then they said under repair bhanyo. and then waited 3 week. and then still broken. and then i asked for refund for unused months and then they said no refund policy bhanyo. this is very bad. baal management. paisa waste yar. sala,1,2023-09-26,code_mixed,1.0,2.4368440183281295,services,1.4688371803521956,medium,0,1.042926954747005,-0.6934859919174493,-0.4814532795739657,0,-0.6809229905923014,0.7068965517241379,0_code_mixed,0,1,3
indicator dim night visibility low,3,9/3/2023,code_mixed,0.0,-0.6772233733392268,transportation,-0.7442539284158903,very_short,0,-0.6308443628273057,0.5594535166598421,-0.4814532795739657,0,-0.6809229905923014,1.0,0_code_mixed,0,3,4
"Exceptional motorcycle, seat comfort amazing, long rides enjoyable!!!",5,2023-04-12,english,0.0,-0.6772233733392268,transportation,-0.6189846203724138,very_short,1,-0.42162294813051693,2.2090013647059408,1.505999185933789,0,-0.27930892360935833,1.0,1_english,1,3,4
Lalitpur ma baseko tyo hotel ma bed bugs thyo. TOTAL DISGUSTING experience. Maile complain garda manager le uile tharkayo. Staff haru ko bolne tarika ekdamai ghatiya thyo. Don't go there ever if you care health.,1,2026-02-02,code_mixed,1.0,0.36079909054989207,hotel_restaurant,0.5084391520188754,medium,1,0.4272182200678835,-0.13781132713263775,-0.4814532795739657,0,1.8144137004723353,0.9428571428571428,1_code_mixed,0,1,1
