review_text,rating,has_slang,slang_count,label,word_count,char_count,avg_word_len,exclamation_count,question_count,uppercase_ratio,unique_word_ratio,language_enc,length_enc
product use chai garya xaina Tara quality ramrai xa thank you for the fast delivery,5,0.0,-0.467222988996129,0,-0.21431299509432122,-0.22522617901882408,-0.2522396069049517,-0.4183730630718973,0,-0.3644242347974181,1.0,0,2
Khatarnak thag haru raixan sabaile avoid garnu hola natra dherai dukha paincha hjr. Mero mobile repair garna diyeko thiyena original parts sabai chorera local halidiyo ani complain garda malai tharkayera bahira nikaldiye. Stay away from this dirty place unless you want to lose your valuable items and money to these criminal people in the side galli shop.,1,1.0,1.2225419424531299,1,1.5503730178541384,1.271258468898041,0.20490655748213718,-0.4183730630718973,0,-0.4472989162441543,0.9824561403508771,2,1
I bought this smartphone last week and while the camera is good the battery life is a huge disappointment for me. 📱 It barely lasts six hours on a full charge even with light usage which is not what was promised in the advertisements. ✨ The screen brightness is also a bit low when using it outside during the daytime. ⭐ For this price range I think there are much better options available in the market that offer better hardware and software stability. 🛍️ ✨,3,0.0,-0.467222988996129,1,2.726830359819778,1.8358662298337083,-0.33781376575573646,-0.4183730630718973,0,-0.3908561165839446,0.8235294117647058,1,0
I didnot got the free package,5,0.0,-0.467222988996129,0,-0.5924599978689912,-0.5212341313540282,-0.7015039408715736,-0.4183730630718973,0,0.14900885451358967,1.0,1,3
"panipuri pani ekdum tangy thiyo, puri crispy, filling babbal, must try!!!",5,1.0,1.2225419424531299,1,-0.3823783296608412,-0.28004246648830633,0.45569207086063446,1.4031588884565172,0,-0.6401568197977742,1.0,2,2
right side ko bottle maile paila use gareko hair oil ho tara yo left side ko aaile naya liko bottle ho tara aaileko ma kunai label nai xina scam ho ki k ho??,5,1.0,1.2225419424531299,0,0.5419810104550187,0.18041434825534453,-0.7501256220367921,-0.4183730630718973,2,-0.6401568197977742,0.8181818181818182,0,1
osm superb xa,5,1.0,1.2225419424531299,0,-0.7185089987938812,-0.6089401913051998,-1.0224070365620177,-0.4183730630718973,0,-0.6401568197977742,1.0,2,3
picture ma dekhako jasto saman chaina sab kuchayera pathako cha waste of money,1,0.0,-0.467222988996129,0,-0.2983456623775812,-0.2526343227535652,0.04726994907279627,-0.4183730630718973,0,-0.6401568197977742,1.0,0,2
"yo product sabai jana lai recommend garchu, blindly trust garnu sakine!!!",5,0.0,-0.467222988996129,1,-0.3823783296608412,-0.28004246648830633,0.45569207086063446,1.4031588884565172,0,-0.6401568197977742,1.0,2,2
price anusar babal xa,5,1.0,1.2225419424531299,0,-0.6764926651522511,-0.565087161329614,-0.43408469446286996,-0.4183730630718973,0,-0.6401568197977742,1.0,2,3
thikai xa.,4,0.0,-0.467222988996129,0,-0.7605253324355111,-0.6253850775460444,-0.594536242308092,-0.4183730630718973,0,-0.6401568197977742,1.0,2,3
paisa anusar ko thikai ho saman,5,0.0,-0.467222988996129,0,-0.5924599978689912,-0.5102708738601317,-0.48756854374461045,-0.4183730630718973,0,-0.6401568197977742,1.0,2,3
good quality.... loved it perfect size,5,0.0,-0.467222988996129,0,-0.5924599978689912,-0.4718994726314942,0.2612053461997588,-0.4183730630718973,0,-0.6401568197977742,1.0,1,3
very good products as expected,5,0.0,-0.467222988996129,0,-0.6344763315106212,-0.5157525026070799,0.04726994907279627,-0.4183730630718973,0,-0.6401568197977742,1.0,1,3
Worst hami yaha ramro saman dekherw linxau Dekhako saman haru akaii xainah,1,0.0,-0.467222988996129,0,-0.3403619960192112,-0.2745608377413581,0.15423764763627784,-0.4183730630718973,0,-0.021621561553732183,0.9166666666666666,0,2
this product is better than expected,4,0.0,-0.467222988996129,0,-0.5924599978689912,-0.4828627301253906,0.04726994907279627,-0.4183730630718973,0,-0.6401568197977742,1.0,1,3
"Bus ko service ramro thiyo, very convenient, I had a great time, price pani reasonable cha, highly recommended to all.",2,0.0,-0.467222988996129,1,-0.004231326886171249,-0.033369172875636226,-0.016910670065292333,-0.4183730630718973,0,-0.25226182733964614,1.0,0,2
"Best product ever, malai dherai pasand aayo, price fair, highly recommended!",5,0.0,-0.467222988996129,1,-0.3823783296608412,-0.26359758024746166,0.6307301230554221,0.18880425410424082,0,-0.3390278124947537,1.0,0,2
Saman ramro xa but delivery is so late,5,0.0,-0.467222988996129,0,-0.5084273305857312,-0.4718994726314942,-0.7549877901533141,-0.4183730630718973,0,-0.03789880519173335,1.0,0,3
Average xa 1 days use gareko bltra ko vanda heat huna time lagxa,3,0.0,-0.467222988996129,0,-0.2983456623775812,-0.32937712521084034,-0.643905949337391,-0.4183730630718973,0,-0.28256612362543737,1.0,0,2
"Dherai liked the product, quality top notch, price fair, I'm a happy customer, thanks!",5,0.0,-0.467222988996129,1,-0.2563293287359512,-0.2087812927779794,0.13895654784149483,0.18880425410424082,0,-0.10792880689011017,1.0,0,2
"Service center ko staff cooperative thiyo, but I'm not sure about quality cha.",1,0.0,-0.467222988996129,1,-0.2983456623775812,-0.2526343227535652,0.04726994907279627,-0.4183730630718973,0,-0.053341318386760025,1.0,0,2
