review_text,rating,date,language_style,has_slang,slang_count,domain
ramailo vibe,4,2024-07-19,code_mixed,1,1,hotel_restaurant
honestly khatrai food. i don't know how this place has good ratings. everything was bland and cold. service was slow. never going here again tbh. total jhyau,1,2024-07-19,code_mixed,1,2,food
babbal cha yar seriously. best coffee in town 🔥,5,2024-10-22,code_mixed,1,1,food
food thik thiyo. staff ok. but too loud inside. hard to talk. not ideal for date lol,3,2023-05-22,english,0,0,food
delivery man le door samma nai aayena. left outside gate. in the RAIN. my parcel was wet. and then seller said not their problem. bro what do i pay delivery fee for then. jhur service,1,2023-06-10,code_mixed,1,1,services
booked this service online. they confirmed. then on the day they called and cancelled. CANCELLED BRO. i had taken day off from work. paisa waste time waste. total jhyau. will never use again.,1,2024-09-12,code_mixed,1,2,services
room nicee but smell dirtyy dirtyy. paisa waste,2,2022-09-09,english,0,0,hotel_restaurant
i waited 30 min and then 40 min and then no update. lastai jhyau but driver dai kind so ok,3,2024-11-11,code_mixed,1,2,transportation
lastai ramro,5,2024-12-12,romanized_nepali,1,1,hotel_restaurant
"paisa waste bro, quality dherai nai kharab",1,2022-05-03,code_mixed,1,2,product
really good place. food is always same here. been coming for 2 years. ramro cha. ramro dherai ramro.,5,2024-09-25,code_mixed,1,2,food
LASTAI DAMI hotel cha.. view from room was so ramro and staff was helpful and food in restaurant was also mitho mitho.. paisa vasool full paisa vasool.. will come back will come back 😍,5,2023-03-28,code_mixed,1,3,hotel_restaurant
thik cha yar. chalcha,3,2022-10-05,romanized_nepali,1,1,services
took the overnight bus. seat was uncomfortable whole night. no blanket provided. reached late pani. not great experience,2,2023-12-04,english,0,0,transportation
hmm food ok thiyo. not bad. service bit slow but ok,3,2024-01-31,english,0,0,food
sala yo resturant ma gayo and waited 40 min for just dal bhat.. 40 MIN.. and the food was cold when it came.. cold dal bhat yaar.. paisa waste time waste.. lastai jhyau thiyo overall,1,2023-11-30,code_mixed,1,4,hotel_restaurant
"Dal bhat ekdam namitho, paisa khera gayo jasto feel bhayo",1,2025-01-06,romanized_nepali,0,0,food
umm honestly the food was decent but expensve for wht you get. like very very expensve. not worth it tbh,2,2024-08-14,english,0,0,food
dami cha yaar the momo.. cheese momo lastai mitho thiyo.. and the soup also ramro.. paisa vasool,5,2024-11-03,code_mixed,1,3,hotel_restaurant
"Buff momo ekdam juicy and spicy, paisa vasool feel aayo",5,2025-01-24,code_mixed,1,1,food
food was very very oily. felt sick after eating. not coming back. this is very bad for health bro,1,2024-02-09,english,0,0,food
ok cha,3,2024-02-02,romanized_nepali,0,0,services
staff nice nice and help fast fast sahi ho,5,2022-02-02,code_mixed,1,1,services
"went here for my friend birthday and honestly it was so bad, staff was rude rude all the time, didnt even bring water for 20 mins and when we asked they gave attitude, food came cold and wrong order, had to ask 4 times to fix it, this place is total waste of money and time, never going back again, lastai jhyau thiyo overall 🤮",1,2023-01-30,code_mixed,1,3,hotel_restaurant
service ramro dherai ramro staff nice nice and then i smile lol,5,2024-09-09,code_mixed,1,1,services
"food xame lzte and cold, service ve$y bad, paisZ waqte, not worth",1,2024-04-23,code_mixed,1,1,food
khana tastyii but cold cold. jhyau feel,2,2024-11-11,english,1,1,food
I booked this hotel online and photos thiye ramro but when i arrived room thiyo tiny and smell aauthy and wifi kaam gardainathyo and called front desk and they put me on hold and then forgot. whole night no wifi. breakfast pani thiyena included what they said. dherai paisa tiryo. DHERAI. khattam hotel. lastai bijog experience. not worth. never booking again ever,1,2024-09-25,code_mixed,1,5,hotel_restaurant
I have been to this resturant 3 times and every time something goes wrong. first time food came late. second time wrong order. third time and then staff was rude when i complained. THREE TIMES bro. lastai jhur yo place. never again ever. khattam. not worth. bijog resturant,1,2023-02-18,english,1,3,hotel_restaurant
bus fastt but noise noise. very bad,2,2022-08-08,english,0,0,transportation
room small small but clean clean and safe safe,4,2023-03-21,english,0,0,hotel_restaurant
shirt ramro dherai ramro and fabric soft. paisa vasool,5,2022-05-05,code_mixed,1,2,product
sahi ho bro the charger is dami.. fast charge and then my phone full in 1 hour.. paisa vasool,5,2023-08-17,code_mixed,1,3,product
i call fix guy cause sink leak leak water drip drip all night all night i no sleep no sleep morning he come slow slow i mad mad but he fix fast fast now dry dry so anger go go overall thik cha,4,2023-07-07,code_mixed,1,1,services
"food oily and oily again. paisa waste, time wste but staff ramailo so mixed feel 🤮",2,2022-07-17,code_mixed,1,2,food
hotel pool thiyo which was nice. but pool was dirty and had leaves in it. not cleaned properly. food at restaurant was ok ok. overall average stay,3,2023-10-17,english,0,0,hotel_restaurant
